substation_id,date,review_action,rpf_start_time,rpf_end_time,confidence
act_D,2023-10-01,no_rpf,,,unsure
act_D,2023-10-02,accept_old,,,unsure
act_D,2023-10-03,no_rpf,,,unsure
act_D,2023-10-04,manual_window,12:15,15:00,unsure
act_D,2023-10-05,manual_window,11:15,15:00,unsure
act_D,2023-10-06,manual_window,11:30,14:45,unsure
act_D,2023-10-07,manual_window,10:30,14:15,unsure
act_D,2023-10-08,accept_old,,,unsure
act_D,2023-10-09,accept_old,,,unsure
act_D,2023-10-10,accept_old,,,unsure
act_D,2023-10-11,manual_window,12:45,14:45,unsure
act_D,2023-10-12,manual_window,11:15,13:00,unsure
act_D,2023-10-13,manual_window,10:45,14:45,unsure
act_D,2023-10-14,manual_window,12:00,13:45,unsure
act_D,2023-10-15,accept_old,,,unsure
act_D,2023-10-16,manual_window,11:15,14:30,unsure
act_D,2023-10-17,accept_old,,,unsure
act_D,2023-10-18,accept_old,,,unsure
act_D,2023-10-19,manual_window,14:30,15:00,unsure
act_D,2023-10-20,manual_window,11:30,14:30,unsure
act_D,2023-10-21,accept_old,,,unsure
act_D,2023-10-22,accept_old,,,unsure
act_D,2023-10-23,manual_window,11:00,14:30,unsure
act_D,2023-10-24,manual_window,11:30,13:45,unsure
act_D,2023-10-25,accept_old,,,unsure
act_D,2023-10-26,accept_old,,,unsure
act_D,2023-10-27,accept_old,,,unsure
act_D,2023-10-28,accept_old,,,unsure
act_D,2023-10-29,manual_window,12:00,14:15,unsure
act_D,2023-10-30,manual_window,11:00,13:30,unsure
act_D,2023-10-31,accept_old,,,unsure
act_D,2023-11-01,manual_window,10:15,11:00,unsure
act_D,2023-11-02,accept_old,,,unsure
act_D,2023-11-03,accept_old,,,unsure
act_D,2023-11-04,accept_old,,,unsure
act_D,2023-11-05,accept_old,,,unsure
act_D,2023-11-06,accept_old,,,unsure
act_D,2023-11-07,accept_old,,,unsure
act_D,2023-11-08,accept_old,,,unsure
act_D,2023-11-09,accept_old,,,unsure
act_D,2023-11-10,manual_window,10:45,14:00,unsure
act_D,2023-11-11,accept_old,,,unsure
act_D,2023-11-12,accept_old,,,unsure
act_D,2023-11-13,accept_old,,,unsure
act_D,2023-11-14,accept_old,,,unsure
act_D,2023-11-15,accept_old,,,unsure
act_D,2023-11-16,accept_old,,,unsure
act_D,2023-11-17,accept_old,,,unsure
act_D,2023-11-18,accept_old,,,unsure
act_D,2023-11-19,accept_old,,,unsure
act_D,2023-11-20,accept_old,,,unsure
act_D,2023-11-21,manual_window,11:00,14:00,unsure
act_D,2023-11-22,accept_old,,,unsure
act_D,2023-11-23,accept_old,,,unsure
act_D,2023-11-24,accept_old,,,unsure
act_D,2023-11-25,accept_old,,,unsure
act_D,2023-11-26,accept_old,,,unsure
act_D,2023-11-27,accept_old,,,unsure
act_D,2023-11-28,accept_old,,,unsure
act_D,2023-11-29,accept_old,,,unsure
act_D,2023-11-30,accept_old,,,unsure
act_D,2023-12-01,accept_old,,,unsure
act_D,2023-12-02,accept_old,,,unsure
act_D,2023-12-03,manual_window,14:15,17:15,unsure
act_D,2023-12-04,manual_window,13:30,14:00,unsure
act_D,2023-12-05,accept_old,,,unsure
act_D,2023-12-06,accept_old,,,unsure
act_D,2023-12-07,manual_window,13:45,14:30,unsure
act_D,2023-12-08,accept_old,,,unsure
act_D,2023-12-09,manual_window,09:00,14:45,unsure
act_D,2023-12-10,manual_window,15:00,17:00,unsure
act_D,2023-12-11,manual_window,15:15,17:15,unsure
act_D,2023-12-12,manual_window,15:00,17:15,unsure
act_D,2023-12-13,manual_window,09:15,13:45,unsure
act_D,2023-12-14,manual_window,10:15,15:00,unsure
act_D,2023-12-15,accept_old,,,unsure
act_D,2023-12-16,accept_old,,,unsure
act_D,2023-12-17,accept_old,,,unsure
act_D,2023-12-18,accept_old,,,unsure
act_D,2023-12-19,accept_old,,,unsure
act_D,2023-12-20,accept_old,,,unsure
act_D,2023-12-21,accept_old,,,unsure
act_D,2023-12-22,accept_old,,,unsure
act_D,2023-12-23,accept_old,,,unsure
act_D,2023-12-24,accept_old,,,unsure
act_D,2023-12-25,manual_window,14:15,16:15,unsure
act_D,2023-12-26,accept_old,,,unsure
act_D,2023-12-27,accept_old,,,unsure
act_D,2023-12-28,accept_old,,,unsure
act_D,2023-12-29,accept_old,,,unsure
act_D,2023-12-30,accept_old,,,unsure
act_D,2023-12-31,accept_old,,,unsure
act_D,2024-01-01,accept_old,,,unsure
act_D,2024-01-02,accept_old,,,unsure
act_D,2024-01-03,accept_old,,,unsure
act_D,2024-01-04,manual_window,09:15,10:30,unsure
act_D,2024-01-05,accept_old,,,unsure
act_D,2024-01-06,manual_window,09:15,10:00,unsure
act_D,2024-01-07,manual_window,14:30,16:15,unsure
act_D,2024-01-08,accept_old,,,unsure
act_D,2024-01-09,accept_old,,,unsure
act_D,2024-01-10,accept_old,,,unsure
act_D,2024-01-11,accept_old,,,unsure
act_D,2024-01-12,manual_window,14:15,17:00,unsure
act_D,2024-01-13,manual_window,11:45,16:45,unsure
act_D,2024-01-14,accept_old,,,unsure
act_D,2024-01-15,accept_old,,,unsure
act_D,2024-01-16,accept_old,,,unsure
act_D,2024-01-17,accept_old,,,unsure
act_D,2024-01-18,accept_old,,,unsure
act_D,2024-01-19,accept_old,,,unsure
act_D,2024-01-20,accept_old,,,unsure
act_D,2024-01-21,manual_window,09:45,14:45,unsure
act_D,2024-01-22,accept_old,,,unsure
act_D,2024-01-23,accept_old,,,unsure
act_D,2024-01-24,accept_old,,,unsure
act_D,2024-01-25,accept_old,,,unsure
act_D,2024-01-26,accept_old,,,unsure
act_D,2024-01-27,accept_old,,,unsure
act_D,2024-01-28,accept_old,,,unsure
act_D,2024-01-29,accept_old,,,unsure
act_D,2024-01-30,manual_window,11:30,15:00,unsure
act_D,2024-01-31,accept_old,,,unsure
act_D,2024-02-01,accept_old,,,unsure
act_D,2024-02-02,manual_window,12:30,13:45,unsure
act_D,2024-02-03,accept_old,,,unsure
act_D,2024-02-04,accept_old,,,unsure
act_D,2024-02-05,accept_old,,,unsure
act_D,2024-02-06,accept_old,,,unsure
act_D,2024-02-07,accept_old,,,unsure
act_D,2024-02-08,accept_old,,,unsure
act_D,2024-02-09,accept_old,,,unsure
act_D,2024-02-10,accept_old,,,unsure
act_D,2024-02-11,accept_old,,,unsure
act_D,2024-02-12,accept_old,,,unsure
act_D,2024-02-13,accept_old,,,unsure
act_D,2024-02-14,accept_old,,,unsure
act_D,2024-02-15,accept_old,,,unsure
act_D,2024-02-16,accept_old,,,unsure
act_D,2024-02-17,accept_old,,,unsure
act_D,2024-02-18,accept_old,,,unsure
act_D,2024-02-19,accept_old,,,unsure
act_D,2024-02-20,accept_old,,,unsure
act_D,2024-02-21,manual_window,12:45,13:45,unsure
act_D,2024-02-22,manual_window,10:30,11:00,unsure
act_D,2024-02-23,manual_window,09:45,13:30,unsure
act_D,2024-02-24,accept_old,,,unsure
act_D,2024-02-25,manual_window,10:45,15:30,unsure
