kind,path,bytes,sha256
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/best_model_config.json,1625,328d98fee0e4d6f535dbbd83ade9739f4cd04ee89de221ca2a6a7d02de516eb7
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/best_model_daily_predictions.csv,1408743,fee85e79577225d0a2f693e0983ee776a42db999d03a43af89e165828e36f3ae
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/best_model_metrics_current_labels.csv,2951,01482536c8373af70caa9fef47fe3e23fdce2b6cbc46d74bcda97eda754a595e
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/best_model_thresholds.csv,3009,dae71812005d30a521d387a4cc6afbc25639a4c007313cc3ad6ca9c39ebea9e5
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/daily_feature_cache.csv,3964667,d0cb7cf6800fed48c694673ecfa6b275bc5bfc794834762ff0674d214bb8454b
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/fp_fn_counts_by_site.csv,1030,3296ee923e4df279d6f08b7260f9275c78732967e786078c1684a6cb806785cd
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/fp_fn_review_index.csv,16344,f45b9835cea3f3d8c8eb1409d625c999ffe702164a6ba914b469e8202b7e6b2f
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/README.md,3178,89b8325b678a8081ed49129b3337f37facacefe4880b28e846009cbb935151e7
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/fn_top_confidence_12days.html,50262,03f6822d1bcdb09f5a653f87b24faa5d15a53782b7d5fe3a96c6ac9b297af459
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/fp_top_confidence_12days.html,47488,6d9d092e60596ae2b11c74ccf7cfd7d59afcb7eb31864d78bfd39148b74b0cd4
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/gallery_example_index.csv,4400,5e67a1096e376fb1e6aa5dc264c7e6314fa11f6e5841d7bc1bf5602949a5bb1d
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/gallery_index.csv,166,c2dc7e6ab99a62541a5ddc19ec27f1a1891cd48b105e9afc2335e39361625cbb
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/plotly-3.6.0.min.js,4848072,685a0c8d4c164a88ed61393a26e4d8a9bf2d9bbf24e6d92cf80b90a20616f175
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/review_examples/source_c16_sure_error_audit.csv,50073,de377a397ef7aedc39337498764ccca6de2bf5acbabd7a3307f66f84d46043ed
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/source_c14_grid_ranking.csv,44573,70e2c2738d60ecb86a3a839f004283d122ce4eb249c10e05a985a505937f1e00
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/source_c14_top_multi_metric_summary.csv,21559,60633e932b56455a6d18bb3037e8cb9945d8f63db3aa133270eb18f131214421
tracked_cache_file,publication/2_journal_article/notebooks/99_Misc/tracked_best_model_cache/physical_score_c14_best/source_c14_top_site_multi_metric_summary.csv,78028,b231d3ead07f66c62cfdf6cfc9c90fd9fdd11b595f5513ff125d363f7c7c2f31
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/19_overnight_weight_ml_timesplit_experiments/full/01_refreshed_daily_feature_cache.csv,3967072,8b1f2205a9a14992b363f748f4ec34e571faa4ed58622ca15496252265a97a39
source_file,publication/2_journal_article/dataset/final/dataset_beta.parquet,5699236,e5164a6df16e05ef52b7c4038ac52e0ed3cef755db14851e3696ab68451869fe
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C14_small_weight_grid/03_c14_threshold_selection.csv,233079,e34cc262b8ef8253c8b81a7911c90197d5ea646b7b72a61f64231ff66caad12c
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C14_small_weight_grid/05_c14_grid_ranking.csv,44573,70e2c2738d60ecb86a3a839f004283d122ce4eb249c10e05a985a505937f1e00
missing_source_file,notebooks\99_Misc\outputs\260707_physical_score_loso_experiments\C14_small_weight_grid\06_c14_top_multi_metric_summary.csv,,
missing_source_file,notebooks\99_Misc\outputs\260707_physical_score_loso_experiments\C14_small_weight_grid\07_c14_top_site_multi_metric_summary.csv,,
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C16_c14_best_error_review_visuals/02_c16_c14_best_sure_error_audit.csv,50073,de377a397ef7aedc39337498764ccca6de2bf5acbabd7a3307f66f84d46043ed
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C16_c14_best_error_review_visuals/04_c16_gallery_index.csv,166,c2dc7e6ab99a62541a5ddc19ec27f1a1891cd48b105e9afc2335e39361625cbb
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C16_c14_best_error_review_visuals/05_c16_gallery_example_index.csv,4400,5e67a1096e376fb1e6aa5dc264c7e6314fa11f6e5841d7bc1bf5602949a5bb1d
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C16_c14_best_error_review_visuals/c14_best_fp_top_confidence_12days.html,47596,ea9742c4c01b0a23c7b08aff634e3c13def997d18d21dd7a2627f9470a314507
source_file,publication/2_journal_article/notebooks/99_Misc/outputs/260707_physical_score_loso_experiments/C16_c14_best_error_review_visuals/c14_best_fn_top_confidence_12days.html,50370,4e76e1a3d655a9fa89da836578f4181b379dc5ed3e9fbef0a0b4204c072c3144
